"","C14ID","C14Age","C14SD","LabCode","Material","SiteID","Latitude","Longitude","Country"
"12583",20596,5010,100,"K-1473","wood","S8108",55.5909,11.5621,"Denmark"
"12579",20597,4420,110,"K-1649","wood","S8108",55.5909,11.5621,"Denmark"
"12580",20598,5260,65,"K-3773","bone","S8108",55.5909,11.5621,"Denmark"
"12591",20599,4920,95,"K-6297","bone","S8109",56.0987,12.2927,"Denmark"
"12593",20601,4140,50,"AAR-7028","charcoal","S8110",56.2414,10.0254,"Denmark"
"12592",20602,4175,50,"AAR-7029","charcoal","S8110",56.2414,10.0254,"Denmark"
"12595",20603,3125,35,"AAR-6660.b","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12598",20604,3145,30,"AAR-6660.a","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12596",20605,3305,35,"AAR-6659.b","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12599",20606,3330,30,"AAR-6663.a","charcoal","S8111",56.3794,9.08881,"Denmark"
"12594",20607,3355,35,"AAR-6663.b","charcoal","S8111",56.3794,9.08881,"Denmark"
"12597",20608,3375,35,"AAR-6661.b","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12604",20609,3440,35,"AAR-6661.a","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12602",20610,3480,30,"AAR-6659.a","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12603",20611,3485,40,"AAR-6664","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12601",20612,3490,35,"AAR-6662.b","plant macrofossils","S8111",56.3794,9.08881,"Denmark"
"12600",20613,3495,35,"AAR-6662.a","bone","S8111",56.3794,9.08881,"Denmark"
"12617",20614,4800,65,"K-4372","charcoal","S8112",56.009,9.96638,"Denmark"
"12607",20615,5080,70,"K-4371","charcoal","S8112",56.009,9.96638,"Denmark"
"12614",20616,5120,70,"K-4370","charcoal","S8112",56.009,9.96638,"Denmark"
"12616",20617,5180,100,"K-6108","charcoal","S8112",56.009,9.96638,"Denmark"
"12615",20618,5200,70,"K-4369","charcoal","S8112",56.009,9.96638,"Denmark"
"12613",20619,5230,70,"K-4132","bone","S8112",56.009,9.96638,"Denmark"
"12612",20620,5320,100,"K-1654","charcoal","S8112",56.009,9.96638,"Denmark"
"12609",20621,5410,95,"K-4368","charcoal","S8112",56.009,9.96638,"Denmark"
"12606",20622,5420,210,"K-4133","bone","S8112",56.009,9.96638,"Denmark"
"12608",20623,5490,100,"K-1653","charcoal","S8112",56.009,9.96638,"Denmark"
"12610",20624,5500,110,"K-1765","charcoal","S8112",56.009,9.96638,"Denmark"
"12611",20625,5610,110,"K-1652","charcoal","S8112",56.009,9.96638,"Denmark"
"12605",20626,5820,95,"K-4367","charcoal","S8112",56.009,9.96638,"Denmark"
"12619",20628,6680,140,"AAR-832","bone","S8114",56.5369,8.94139,"Denmark"
"12622",20631,4740,34,"K-7126","charcoal","S8117",55.8845,9.77612,"Denmark"
"12624",20633,4640,55,"AAR-6608","food residue","S8118",55.4399,9.82642,"Denmark"
"12623",20634,5630,55,"AAR-6607","food residue","S8118",55.4399,9.82642,"Denmark"
"12631",20639,4910,100,"K-2253","charcoal","S8123",56.1105,9.50416,"Denmark"
"12632",20640,4920,100,"K-2255","charcoal","S8123",56.1105,9.50416,"Denmark"
"12633",20641,4960,100,"K-2254a","NULL","S8123",56.1105,9.50416,"Denmark"
"12630",20642,4970,100,"K-2254","charcoal","S8123",56.1105,9.50416,"Denmark"
"12629",20643,4980,100,"K-2254b","charcoal","S8123",56.1105,9.50416,"Denmark"
"12634",20644,4540,45,"Ka-7000","wood","S8124",55.5133,11.1692,"Denmark"
"12637",20646,4450,30,"AAR-5362","NULL","S8125",55.9161,12.3009,"Denmark"
"12635",20647,4490,85,"K-4981","bone","S8125",55.9161,12.3009,"Denmark"
"12636",20648,4610,85,"K-4982","bone","S8125",55.9161,12.3009,"Denmark"
"12638",20650,4480,55,"K-7043","wood","S8126",55.65,12.0821,"Denmark"
"7837",20651,4340,90,"K-2766","bone","S4458",55.209,10.087,"Denmark"
"7836",20652,4400,90,"K-2910","plant macrofossils","S4458",55.209,10.087,"Denmark"
"7840",20653,4400,65,"K-2911","plant macrofossils","S4458",55.209,10.087,"Denmark"
"7842",20654,4480,90,"K-2767","plant macrofossils","S4458",55.209,10.087,"Denmark"
"7843",20655,4530,70,"K-2628","plant macrofossils","S4458",55.209,10.087,"Denmark"
"7839",20656,4600,90,"K-2630","wood","S4458",55.209,10.087,"Denmark"
"7838",20657,4620,90,"K-2631","wood","S4458",55.209,10.087,"Denmark"
"7844",20658,4690,90,"K-2629","wood","S4458",55.209,10.087,"Denmark"
"7841",20659,4760,90,"K-2632","wood","S4458",55.209,10.087,"Denmark"
"12640",20660,3850,90,"AAR-1128","bone","S8127",55.2098,10.083,"Denmark"
"12639",20661,4000,90,"AAR-1127","bone","S8127",55.2098,10.083,"Denmark"
"12642",20663,4130,90,"K-2847","NULL","S8129",56.4,9.1,"Denmark"
"12643",20664,5280,50,"K-3622","bone","S8130",55.8899,11.146,"Denmark"
"12644",20665,4050,100,"K-2298","charcoal","S8131",56.457,8.86994,"Denmark"
"7863",20666,3270,45,"K-7114","charcoal","S4556",55.42,11.72,"Denmark"
"7865",20667,3440,35,"AAR-5334","charcoal","S4556",55.42,11.72,"Denmark"
"7864",20668,4490,45,"K-7113","plant macrofossils","S4556",55.42,11.72,"Denmark"
"12646",20671,4140,100,"K-2116","charcoal","S8134",56.1734,9.68544,"Denmark"
"12649",20672,4040,85,"K-3248","charcoal","S8135",56.4191,9.07575,"Denmark"
"12647",20673,4050,80,"K-3246","charcoal","S8135",56.4191,9.07575,"Denmark"
"12648",20674,4060,85,"K-3249","charcoal","S8135",56.4191,9.07575,"Denmark"
"12650",20675,4110,85,"K-3247","charcoal","S8135",56.4191,9.07575,"Denmark"
"12651",20676,4240,85,"K-3250","charcoal","S8135",56.4191,9.07575,"Denmark"
"12653",20678,4040,100,"K-2442","charcoal","S8137",55.9832,8.86859,"Denmark"
"12655",20679,4050,100,"K-2443","charcoal","S8137",55.9832,8.86859,"Denmark"
"12654",20680,4130,100,"K-2441","charcoal","S8137",55.9832,8.86859,"Denmark"
"12656",20681,3980,90,"K-2807","charcoal","S8138",55.9832,8.86859,"Denmark"
"12657",20682,4070,90,"K-2806","charcoal","S8138",55.9832,8.86859,"Denmark"
"12659",20683,3980,100,"K-2181","charcoal","S8139",55.9832,8.86859,"Denmark"
"12658",20684,4110,100,"K-2180","charcoal","S8139",55.9832,8.86859,"Denmark"
"12661",20685,3960,100,"K-2182","charcoal","S8140",55.9832,8.86859,"Denmark"
"12660",20686,4000,100,"K-2183","charcoal","S8140",55.9832,8.86859,"Denmark"
"12677",20694,4030,100,"K-1725","charcoal","S8146",55.9504,11.8993,"Denmark"
"12679",20695,4650,100,"K-1724","charcoal","S8146",55.9504,11.8993,"Denmark"
"12678",20696,5520,110,"K-1723","charcoal","S8146",55.9504,11.8993,"Denmark"
"12686",20699,4630,90,"K-6028","wood","S8149",55.6846,11.2358,"Denmark"
"12684",20700,5059,68,"AAR-3316","bone","S8149",55.6846,11.2358,"Denmark"
"12688",20701,5060,61,"AAR-3317","bone","S8149",55.6846,11.2358,"Denmark"
"12683",20702,5319,65,"AAR-3318","bone","S8149",55.6846,11.2358,"Denmark"
"12687",20703,6140,60,"AAR-3782","wood","S8149",55.6846,11.2358,"Denmark"
"12682",20704,6189,49,"AA-43837","wood","S8149",55.6846,11.2358,"Denmark"
"12685",20705,6495,60,"AAR-3783","wood","S8149",55.6846,11.2358,"Denmark"
"12691",20707,3065,50,"AAR-6564","charcoal","S8151",56.8688,8.45148,"Denmark"
"12690",20708,3520,45,"AAR-6553","charcoal","S8151",56.8688,8.45148,"Denmark"
"12692",20709,4020,85,"K-3245","charcoal","S8152",55.0347,9.28893,"Denmark"
"12693",20710,3980,85,"K-3472","charcoal","S8153",57.014,9.9819,"Denmark"
"12694",20711,4590,40,"AAR-5473","NULL","S8154",56.6529,9.66608,"Denmark"
"12695",20712,4600,90,"K-2778","bone","S8155",55.5711,12.1318,"Denmark"
"12702",20715,4640,100,"AAR-5114","food residue","S8157",55.5939,11.559,"Denmark"
"12699",20716,5050,65,"K-5042","bone","S8157",55.5939,11.559,"Denmark"
"12697",20717,5095,45,"AAR-4819","food residue","S8157",55.5939,11.559,"Denmark"
"12698",20718,5110,65,"K-5041","bone","S8157",55.5939,11.559,"Denmark"
"12701",20719,5130,65,"K-5043","bone","S8157",55.5939,11.559,"Denmark"
"12703",20720,5140,65,"K-5044","bone","S8157",55.5939,11.559,"Denmark"
"12700",20721,5180,40,"AAR-4818","food residue","S8157",55.5939,11.559,"Denmark"
"12705",20722,4240,60,"K-4074","wood","S8158",54.9377,10.8262,"Denmark"
"12706",20723,4260,115,"K-6197","plant macrofossils","S8158",54.9377,10.8262,"Denmark"
"12704",20724,4370,70,"K-4073","wood","S8158",54.9377,10.8262,"Denmark"
"12707",20725,4940,80,"Ka-6448","food residue","S8159",55.3548,11.4112,"Denmark"
"12709",20728,4240,90,"K-5495","charcoal","S8161",55.2157,14.8827,"Denmark"
"12710",20729,4380,90,"K-5496","charcoal","S8161",55.2157,14.8827,"Denmark"
"12711",20730,3460,100,"K-2297","charcoal","S8162",56.4147,8.83509,"Denmark"
"12712",20731,3730,100,"K-2296","charcoal","S8162",56.4147,8.83509,"Denmark"
"12714",20733,4310,100,"K-1789","charcoal","S8164",56.0833,8.25,"Denmark"
"12715",20735,3650,80,"K-3533","charcoal","S8165",56.837,8.25868,"Denmark"
"12716",20736,3680,85,"K-3534","charcoal","S8165",56.837,8.25868,"Denmark"
"12721",20744,4560,85,"K-4978","bone","S8170",55.5937,11.543,"Denmark"
"12723",20745,4420,50,"AAR-7062","bone","S8171",55.5937,11.543,"Denmark"
"12722",20746,4500,45,"AAR-7061","bone","S8171",55.5937,11.543,"Denmark"
"12724",20747,4860,110,"AAR-1840","food residue","S8172",55.5939,11.559,"Denmark"
"12727",20751,4510,90,"K-5742","bone","S8175",55.5867,11.6065,"Denmark"
"12728",20752,4530,90,"K-5741","bone","S8175",55.5867,11.6065,"Denmark"
"12729",20753,4450,90,"K-6058","charcoal","S8176",55.5867,11.6065,"Denmark"
"12733",20760,3980,65,"K-2672","charcoal","S8180",56.5032,9.05742,"Denmark"
"12734",20761,3660,80,"K-4075","charcoal","S8181",56.5032,9.05742,"Denmark"
"12736",20765,4960,65,"K-3775","food residue","S8183",55.6167,11.5939,"Denmark"
"12740",20767,4100,85,"K-4027","wood","S8184",56.0483,12.1087,"Denmark"
"12739",20768,4170,85,"K-4591","wood","S8184",56.0483,12.1087,"Denmark"
"12737",20769,4250,85,"K-4026","wood","S8184",56.0483,12.1087,"Denmark"
"12738",20770,4260,85,"K-4590","wood","S8184",56.0483,12.1087,"Denmark"
"12741",20771,4370,110,"AAR-1852","food residue","S8185",55.5909,11.5762,"Denmark"
"12746",20774,4960,65,"K-2775","food residue","S8188",55.5902,11.5022,"Denmark"
"12747",20776,3770,80,"K-4713","charcoal","S8189",56.7943,9.5186,"Denmark"
"12748",20777,3820,60,"K-4712","charcoal","S8189",56.7943,9.5186,"Denmark"
"12750",20779,4500,85,"K-2985","charcoal","S8190",55.8948,9.99002,"Denmark"
"12749",20785,4680,90,"K-2987","charcoal","S8190",55.8948,9.99002,"Denmark"
"12751",20787,4690,90,"K-2986","charcoal","S8190",55.8948,9.99002,"Denmark"
"12752",20788,4730,90,"K-2988","charcoal","S8190",55.8948,9.99002,"Denmark"
"12755",20791,4590,75,"K-6673","charcoal","S8193",57.3373,10.308,"Denmark"
"12756",20792,4710,70,"K-6671","charcoal","S8193",57.3373,10.308,"Denmark"
"12757",20793,4720,70,"K-6672","charcoal","S8193",57.3373,10.308,"Denmark"
"12760",20797,4870,45,"AAR-6881","bone","S8195",55.6254,11.3336,"Denmark"
"12764",20800,4390,120,"K-718","charcoal","S8196",56.4905,10.5127,"Denmark"
"12761",20801,4440,120,"K-727","charcoal","S8196",56.4905,10.5127,"Denmark"
"12762",20802,4680,110,"K-1763","charcoal","S8196",56.4905,10.5127,"Denmark"
"12763",20803,4700,110,"K-1762","charcoal","S8196",56.4905,10.5127,"Denmark"
"12766",20805,5090,140,"K-6177","wood","S8197",55.3884,9.81887,"Denmark"
"12765",20806,6740,80,"K-3558","bone","S8197",55.3884,9.81887,"Denmark"
"12768",20808,4475,45,"Ka-6978","wood","S8199",55.6295,11.1779,"Denmark"
"12769",20809,4630,85,"K-4979","bone","S8200",55.5898,11.5289,"Denmark"
"12771",20811,4580,90,"K-6306","bone","S8201",54.9535,9.21664,"Denmark"
"12772",20812,5386,42,"AAR-4773","bone","S8202",55.6045,11.5883,"Denmark"
"12773",20813,4760,95,"K-6300","bone","S8203",55.6045,11.5883,"Denmark"
"6761",20820,3995,65,"AAR-2437.1","plant macrofossils","S4118",55.05,14.88,"Denmark"
"6763",20821,4170,70,"AAR-2437.2","plant macrofossils","S4118",55.05,14.88,"Denmark"
"6765",20822,4245,60,"AAR-2438.1","plant macrofossils","S4118",55.05,14.88,"Denmark"
"6762",20823,5250,90,"AAR-2438.2","plant macrofossils","S4118",55.05,14.88,"Denmark"
"12778",20826,5140,100,"K-6303","bone","S8209",55.749,12.261,"Denmark"
"12779",20827,4150,100,"K-2118","charcoal","S8210",55.4702,8.51881,"Denmark"
"12781",20830,4570,150,"Ka-6452","food residue","S8212",55.5614,11.5098,"Denmark"
"12784",20831,3135,55,"AAR-6115","charcoal","S8213",56.5386,8.79963,"Denmark"
"12782",20832,3660,50,"AAR-6113","charcoal","S8213",56.5386,8.79963,"Denmark"
"12783",20833,3975,55,"AAR-6114","charcoal","S8213",56.5386,8.79963,"Denmark"
"12785",20834,4150,100,"K-1582","charcoal","S8214",55.5663,9.40592,"Denmark"
"7878",20835,4100,100,"K-1932","bone","S4564",56.7422,9.42611,"Denmark"
"7880",20836,4160,100,"K-1983","bone","S4564",56.7422,9.42611,"Denmark"
"7882",20837,4290,100,"K-1930","bone","S4564",56.7422,9.42611,"Denmark"
"7881",20838,4350,100,"K-1931","bone","S4564",56.7422,9.42611,"Denmark"
"7879",20839,4450,100,"K-1982","charcoal","S4564",56.7422,9.42611,"Denmark"
"12788",20841,4390,100,"K-2128","NULL","S8216",55.623,12.1387,"Denmark"
"12787",20842,4460,100,"K-2127","NULL","S8216",55.623,12.1387,"Denmark"
"12794",20843,4650,55,"AAR-5006","bone","S8217",56.7368,10.1489,"Denmark"
"12790",20845,4925,55,"AAR-5005","bone","S8217",56.7368,10.1489,"Denmark"
"12789",20846,4945,45,"AAR-5386","charcoal","S8217",56.7368,10.1489,"Denmark"
"12791",20848,4955,60,"AAR-5004","bone","S8217",56.7368,10.1489,"Denmark"
"6740",20854,5500,70,"K-3920","bone","S4099",56.0358,9.65489,"Denmark"
"6739",20855,5540,65,"K-3921","bone","S4099",56.0358,9.65489,"Denmark"
"12796",20856,3920,85,"K-4023","charcoal","S8219",56.9555,9.77631,"Denmark"
"12797",20857,3760,60,"K-2751","charcoal","S8220",55.6299,9.08239,"Denmark"
"12802",20862,4040,100,"K-1569","charcoal","S8224",56.4193,9.03985,"Denmark"
"12800",20863,4110,100,"K-2427","charcoal","S8224",56.4193,9.03985,"Denmark"
"12804",20864,4180,100,"K-2425","charcoal","S8224",56.4193,9.03985,"Denmark"
"12801",20865,4210,100,"K-1574","charcoal","S8224",56.4193,9.03985,"Denmark"
"12809",20866,4220,100,"K-2426","charcoal","S8224",56.4193,9.03985,"Denmark"
"12812",20867,4230,100,"K-1572","charcoal","S8224",56.4193,9.03985,"Denmark"
"12811",20868,4270,100,"K-1573","charcoal","S8224",56.4193,9.03985,"Denmark"
"12806",20869,4300,100,"K-1571","charcoal","S8224",56.4193,9.03985,"Denmark"
"12807",20870,4430,100,"K-1567","charcoal","S8224",56.4193,9.03985,"Denmark"
"12805",20871,4560,100,"K-1568","charcoal","S8224",56.4193,9.03985,"Denmark"
"12810",20872,4570,100,"K-1566","charcoal","S8224",56.4193,9.03985,"Denmark"
"12813",20873,4660,100,"K-2424","charcoal","S8224",56.4193,9.03985,"Denmark"
"12803",20874,4740,100,"K-2428","charcoal","S8224",56.4193,9.03985,"Denmark"
"12808",20875,4980,100,"K-1570","charcoal","S8224",56.4193,9.03985,"Denmark"
"12815",20878,4010,85,"K-3628","charcoal","S8226",56.85,9.45,"Denmark"
"12816",20879,4030,85,"K-3627","charcoal","S8226",56.85,9.45,"Denmark"
"12146",20881,5090,65,"AAR-7418-2","bone","S7894",55.7719,11.3902,"Denmark"
"12145",20882,5983,38,"AAR-7417","bone","S7894",55.7719,11.3902,"Denmark"
"12817",20883,4590,120,"K-1165","wood","S8227",55.5937,11.543,"Denmark"
"12197",20889,4530,50,"K-3675","charcoal","S7929",55.5937,11.543,"Denmark"
"12200",20890,4590,60,"K-2846","peat","S7929",55.5937,11.543,"Denmark"
"12202",20895,4560,60,"K-2845","wood","S7929",55.5937,11.543,"Denmark"
"12198",20896,4570,60,"K-3746","bone","S7929",55.5937,11.543,"Denmark"
"12819",20900,3290,55,"AAR-6563","charcoal","S8231",56.9721,8.54367,"Denmark"
"12820",20902,3910,85,"K-4022","charcoal","S8232",55.0287,9.81034,"Denmark"
"12822",20904,6750,60,"AAR-6070","bone","S8234",55.792,11.6671,"Denmark"
"12823",20905,7145,60,"AAR-6069","bone","S8235",55.5719,11.4578,"Denmark"
"12550",20907,6350,55,"K-7118","charcoal","S8092",55.9309,12.5105,"Denmark"
"12824",20908,5720,65,"AAR-6067","NULL","S8236",55.1239,12.1259,"Denmark"
"12827",20914,4000,100,"K-1925","charcoal","S8239",56.5838,9.44336,"Denmark"
"12770",20915,4860,135,"K-3778","food residue","S8200",55.5898,11.5289,"Denmark"
"12828",20916,4820,38,"AAR-7196","bone","S8240",55.5898,11.5289,"Denmark"
"12830",20917,4250,85,"K-5362a","charcoal","S8241",57.5613,10.2626,"Denmark"
"12829",20918,4270,85,"K-5362","charcoal","S8241",57.5613,10.2626,"Denmark"
"12834",22214,6870,50,"AAR-4093","animal bone","S8353",54.9184,11.6885,"Denmark"
"12833",22215,7080,75,"K-4354","human bone","S8353",54.9184,11.6885,"Denmark"
"12848",22229,6263,36,"AAR-10246","human bone","S8394",55.3402,11.1848,"Denmark"
"12850",22232,6280,35,"AAR-8551","human bone","S8410",55.99,11.9592,"Denmark"
"12856",22244,6820,55,"AAR-9341","human bone","S8443",55.3953,9.83,"Denmark"
"12855",22245,6905,55,"AAR-9342","human bone","S8443",55.3953,9.83,"Denmark"
"13563",22272,4575,35,"Poz-22588","bone","S9047",56.8796,9.21684,"Denmark"
"13562",22273,5010,35,"Poz-22589","NULL","S9047",56.8796,9.21684,"Denmark"
"13331",22280,5265,60,"AAR-2654","animal bone","S8909",55.59,10.33,"Denmark"
"13337",22281,5270,80,"AAR-5961","animal bone","S8909",55.59,10.33,"Denmark"
"13335",22282,5300,55,"AAR-5970","animal bone","S8909",55.59,10.33,"Denmark"
"13338",22283,5310,65,"AAR-5968","animal bone","S8909",55.59,10.33,"Denmark"
"13327",22284,5340,75,"AAR-2656","animal bone","S8909",55.59,10.33,"Denmark"
"13328",22285,5350,60,"AAR-2655","animal bone","S8909",55.59,10.33,"Denmark"
"13330",22286,5375,50,"AAR-5969","animal bone","S8909",55.59,10.33,"Denmark"
"13324",22287,5430,70,"AAR-2653","animal bone","S8909",55.59,10.33,"Denmark"
"13326",22288,5555,45,"AAR-5960","animal bone","S8909",55.59,10.33,"Denmark"
"13329",22289,5565,50,"AAR-5963","animal bone","S8909",55.59,10.33,"Denmark"
"13325",22290,5620,65,"AAR-5962","animal bone","S8909",55.59,10.33,"Denmark"
"13333",22291,5640,80,"AAR-2652","animal bone","S8909",55.59,10.33,"Denmark"
"13336",22292,5650,60,"AAR-5964","animal bone","S8909",55.59,10.33,"Denmark"
"13332",22293,5685,50,"AAR-5966","animal bone","S8909",55.59,10.33,"Denmark"
"13334",22294,6225,55,"AAR-5967","human bone","S8909",55.59,10.33,"Denmark"
"12201",22601,4510,90,"K-2279","NULL","S7929",55.5937,11.543,"Denmark"
"7582",22639,6130,75,"K-5621","charcoal","S4379",55.3447,11.1217,"Denmark"
"7581",22640,6370,75,"K-5622","charcoal","S4379",55.3447,11.1217,"Denmark"
"7580",22641,6430,100,"K-5344","charcoal","S4379",55.3447,11.1217,"Denmark"
"13286",22645,3560,85,"K-5787","charcoal","S8885",56.4946,10.746,"Denmark"
"13702",22667,4900,40,"POZ-28068","plant macrofossils","S9102",57.7278,10.5391,"Denmark"
"13721",22713,4823,35,"AAR-8515","food residue","S9109",56.2983,10.2283,"Denmark"
"12388",22722,4790,40,"Poz-26157","NULL","S8026",56.5751,9.05061,"Denmark"
"13755",22771,4975,55,"AAR-9225","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
"13758",22772,5190,90,"AAR-8542","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
"13757",22773,5075,50,"AAR-9227","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
"13756",22774,5120,49,"AAR-8550","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
"12428",22783,5890,55,"AAR-7410-2","NULL","S8055",55.75,12.02,"Denmark"
"13320",22818,5910,75,"K-5640","wood","S8905",54.8997,10.4175,"Denmark"
"13321",22819,6170,85,"K-6040","bone","S8905",54.8997,10.4175,"Denmark"
"13323",22820,6270,80,"K-6682","wood","S8905",54.8997,10.4175,"Denmark"
"13322",22821,6290,75,"K-6681","wood","S8905",54.8997,10.4175,"Denmark"
"12483",22846,4830,65,"K-4476","plant macrofossils","S8084",56.144,8.46961,"Denmark"
"12478",22847,4930,65,"K-4477","plant macrofossils","S8084",56.144,8.46961,"Denmark"
"12484",22848,4940,65,"K-4478","plant macrofossils","S8084",56.144,8.46961,"Denmark"
"12482",22849,4980,70,"K-2889","wood","S8084",56.144,8.46961,"Denmark"
"13866",23033,4770,85,"K-4770","NULL","S9154",56.0865,12.3716,"Denmark"
"13867",23034,4960,90,"K-4771","NULL","S9154",56.0865,12.3716,"Denmark"
"13291",23046,3815,55,"AAR-4517","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
"13289",23047,3885,45,"AAR-4516","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
"13290",23048,3890,50,"AAR-4518","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
"13288",23049,3890,45,"AAR-4515","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
"13883",23057,4890,90,"KIA-36139","plant macrofossils","S9162",55.9969,12.2864,"Denmark"
"13882",23058,4965,35,"KIA-36142","charcoal","S9162",55.9969,12.2864,"Denmark"
"12795",23074,4700,35,"Poz-22575","bone","S8217",56.7368,10.1489,"Denmark"
"12792",23075,4775,35,"Poz-22576","NULL","S8217",56.7368,10.1489,"Denmark"
"12793",23076,5020,60,"Poz-22578","bone","S8217",56.7368,10.1489,"Denmark"
